key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,int32,str,str,str,str,str,str,str,str,str,str,uint32,byte,uint16,uint32,uint32,uint32,int32,uint32,uint32,int32,uint16,int32,int32,int32,int32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,int32,int32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
0,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,"Directive: Destroy Corrupted Crystals","A mass of enormous corrupted crystals has been detected near the Scream Puff. Pilot a vacuum suit, destroy the crystals, and gather the remnants for processing and repurposing.","Destroy large corrupted crystals.","","","Destroy small corrupted crystals and submit the remnants to the field scanners.","","","The mech op directive “Destroy Corrupted Crystals” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",368,5,0,11502159,10921203,11482845,60493,10921201,11482848,60492,600,20172,20171,60809,63889,11759496,6,7,8,0,7,8,1420,1422,1,4259842,4259843,4259844,4259845,4259846,11629602,330,11532641,11532657,11532659,11532660,11532661,296,297,298,299,300
2,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,"Directive: Clear Toxic Lunar Spongoi","A bed of toxic spongoi has sprouted near the Mush-room. Needless to say, the proliferation of these spongoi and their spores would greatly impede the exploration initiative. Pilot a warp loader and clear out the red spongoi.","Clear out the toxic spongoi.","","","Clear away smaller spongoi using flamethrowers, and submit their ashes to nearby field scanners.","","","The mech op directive “Clear Toxic Lunar Spongoi” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",378,5,0,11508987,11170532,11508985,60493,11170531,11508986,60492,600,20173,20171,60809,63889,11759498,9,10,11,0,7,8,1420,1422,5,4259862,4259863,4259864,4259865,4259866,11730314,333,11753130,11753131,11753132,11753133,11753134,301,302,303,304,305
6,3,"Directive: Mine Phainite","The Saltpeter Shore is rich in phainite, a resource highly valued by the initiative. Pilot a vacuum suit, harness the necessary energy, and extract this volcanic glass from pits of quicksand.","Mine phainite from quicksand pits.
Ten units of ionic energy must be harnessed for extraction.","","","Drill for shallow reserves of phainite, and submit samples to nearby field scanners.","","","The mech op directive “Mine Phainite” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",404,5,0,11925434,11841658,11925435,60493,11841657,11925436,60492,600,20173,20171,60809,63889,11911477,12,13,14,0,7,8,1420,1422,6,4259924,4259925,4259926,4259927,4259928,11939517,351,11939469,11939470,11939471,11939472,11939473,339,340,341,342,343
7,3,"Directive: Shatter Glass Clusters","Fluctuations in the Chillmark's ground temperature have enabled the proliferation of remarkably high-purity glass clusters─a vital asset for crafting lenses and machinery. Pilot the warp loader, shatter the clusters, and collect the larger fragments that remain.","Shatter glass clusters.","","","Salvage glass fragments, and submit them to nearby field scanners.","","","The mech op directive “Shatter Glass Clusters” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",405,5,0,11925453,11842477,11925454,60493,11842314,11925455,60492,600,20172,20171,60809,63889,11911495,15,16,17,0,7,8,1420,1422,7,4259929,4259930,4259931,4259932,4259933,11939524,354,11939478,11939479,11939480,11939484,11939485,344,345,346,347,348
8,4,"Directive: Dissipate Distortions","A large-scale fluctuation has manifested spherical distortions in the vicinity of the Long-lost Carrot. Left unchecked, the effects on the region could be disastrous. Pilot the repurposed warmachina provided by our Garlean associate, and dissipate these anomalies directly.","Dissipate the gravitational distortions.
Nova grenades are effective against the larger gravity spheres.","Dissipate the massive gravity sphere.","","Dissipate the subterranean gravity spheres.","Dissipate the massive gravity sphere.","","The mech op directive “Dissipate Distortions” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",424,5,0,12171402,12115206,12171403,60493,12115207,12171404,60492,600,20172,20171,60809,63889,12216648,3,2,4,0,7,8,1420,1422,2,4259847,4259848,4259849,4259850,4259851,12201566,377,12201637,12201638,12201639,12201640,12201641,365,366,367,368,369
9,4,"Directive: Collect Floatstone","A gravitational anomaly at Cape Geras has caused the floatstones in the area to break free of the ground and hover in midair. These energized rocks are an invaluable resource for specialized study, and current conditions offer the opportunity to gather them in mass quantities.","Collect floatstones.","","","Collect small floatstones, and submit them to nearby field scanners.","","","The mech op directive “Collect Floatstone” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",423,5,0,12171427,12115218,12171428,60493,12115219,12171429,60492,600,20173,20171,60809,63889,12216801,18,19,0,20,7,8,1420,1422,3,4259852,4259853,4259854,4259855,4259856,12201585,380,12201642,12201646,12201647,12201648,12201649,370,371,372,373,374
10,5,"Directive: Eradicate Toxic Weeds","An invasive weed releasing toxic pollen has taken over the grounds of Highwood Estates. The toxins threaten to poison the soil and trigger violent allergic reactions in vulnerable personnel, making the plants' eradication a top priority.","Shred toxic bloomers.","Shred toxic expulsers.","","Incinerate small toxic bloomers and deposit the ash at nearby field scanners.","Incinerate small toxic bloomers and deposit the ash at nearby field scanners.","","The mech op directive “Eradicate Toxic Weeds” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",441,5,0,12540751,12525811,12540752,60493,12525812,12540753,60492,600,20172,20171,60809,63889,12540754,21,22,23,24,7,8,1420,1422,4,4260068,4260069,4260070,4260071,4260072,12567028,403,12566856,12566857,12566858,12566859,12566860,391,392,393,394,395
11,5,"Directive: Sublimate Ancient Plants","The ancient plant species found at Blossomingway Beds was cultivated to sublimate at full maturity and scatter its aether into the surrounding environs. We have devised a custom growth formula to accelerate its stunted natural cycle and repair this vital ecological process.","Sublimate mercorn.","Sublimate mercorn.","","Sublimate dwarf mercorn.","Sublimate dwarf mercorn.","","The mech op directive “Sublimate Ancient Plants” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",439,5,0,12540808,12525832,12540809,60493,12525833,12540810,60492,600,20173,20171,60809,63889,12540811,25,26,0,0,7,8,1420,1422,8,4260073,4260074,4260075,4260076,4260077,12567046,406,12566861,12566862,12566863,12566864,12566865,396,397,398,399,400
